,Text
829,"Aku dekatkan diri dengan Tuhan, aku bersungguh nak khatam Alquran (ya, aku masih belum khatam walaupun umur dah bangka)"
830,Aku terfikir untuk mengambil cuti sementara dan mungkin bekerja untuk alihkan perhatian aku dengan pelajaran
831, Ye mungkin dengan kelulusan macam ni apa je kerja aku boleh lakukan
832,Tapi aku perlu counter semula fikiran dan tahap mental aku
833, Aku bukan lembik tapi cukuplah aku kata aku tak cukup kuat
834,– NurulHantar confession anda di sini -> www
835,iiumc
836,com/submit
837,"Hai, it’s me again"
838, Confession sebelum ni pasal gangguan penyesuaian/ adjustment disorder
839," Boleh baca confession berkenaan di sini, (https://iiumc"
840,com/gpaddm/)
841,Aku ada baca kat komen di FB yang nak tahu pasal mental illness/ mental health
842, Harap admin boleh publish untuk tambah pengetahuan tentang kesihatan mental sebab kalau google pun tak berapa jelas sangat rawatan
843,Aku mention awal-awal yang tak semua alami kemurungan adalah sama dan tak semua yang perlukan rawatan yang sama
844," Sebab doktor aku beritahu, setiap pesakit ada kemurungan tersendiri dengan ciri ‘istimewa’ tersendiri"
845,Aku nak share a few rawatan untuk atas perasaan kemurungan based on pengalaman sendiri dan jawapan daripada pakar dan doktor yang incharge aku kat klinik psikiatri dan kesihatan mental
846,"Ok, aku nak highlight kat sini apa yang diperlukan bila ada kemurungan ialah seorang pendengar yang setia dan tidak menghukum luahan hati kau"
847," Bila kau hadapi sesuatu peristiwa yang kau tak boleh hadap, carilah teman untuk meluah perasaan"
848,"Aku tahu yang ramai pembaca kat luar sana yang hadir temujanji dengan doktor psikiatri kan?Ok, rawatan yang diberikan oleh doktor korang ialah psikoterapi; iaitu untuk ubah cara minda korang berfikir"
849," Kalau selama ni dalam kepala otak kau asyik thought negatif je, jadi peranan dorang ialah untuk betulkan mind set korang"
850, Ini yang pertama dalam rawatan kemurungan
851,Doktor yang bertugas takkan sesekali cadangkan penyelesaian kepada masalah kau
852," Kau kena fikir sendiri, dia bagi kertas dan suruh senaraikan masalah dan cara tangani masalah kau"
853, Doktor nak ajar kau supaya kau ada self-esteem dan boleh buat keputusan
854,Rawatan kedua ialah ubat-ubatan
855, Lepas dah jumpa doktor mesti dapat slip ubat kan? Haa itu ialah rawatan anti-depression kalau ada tanda kemurungan dan anti-anxiety kalau ada kegelisahan
856,"Untuk pesakit yang ada simptom psychotic, ubat tambahan mereka ialah ubat anti-psychotic dan ada masalah untuk tidur pun doktor akan beri ubat penenang"
857, Ni yang dalam drama melayu selalu ada dialog “kau tak makan ubat kau eh?” Haa ubat tulah
858,Semua jenis ubat yang diberikan ialah untuk tambah/ubah hormon kau dalam otak
859," Kalau macam aku, aku kekurangan hormon serotonin yang menyebakan aku selalu sedih dan kemurungan"
860,"Ubat yang doktor endorse pun bukan ubat Over-The-Counter, ubat tu memerlukan sign dan cop doktor sebab semuanya ubat terkawal"
861, Maknanya kalau korang tak perlukan ubat memang dorang takkan beri
862,  Rawatan yang keempat ialah meditasi/mengenali Tuhan
863, Aku pakai frasa Tuhan yang merujuk kepada semua agama
864, Generally
865," Kalau boleh kau kena rajin-rajinkan solat lima waktu, baca al-quran, solat tahajud semua tu supaya dapat ketenangan kalau kau seorang yang beragama Islam"
866,"Kalau agama lain, boleh buat ikut kepercayaan masing-masing sebab aku percaya yang agama mengajar perkara yang baik-baik kepada penganutnya"
867,Rawatan kelima ialah sokongan keluarga
868, Bunyinya macam kejam kalau kau ada konflik dengan keluarga
869," Doktor psikiatri yang incharge kau akan panggil sesiapa yang tinggal serumah dengan kau, yang hari-hari kau jumpa kat tempat kerja/ sekolah/ IPT dan yang rapat dengan kau"
870,Doktor akan sedaya-upaya untuk terangkan keadaan mental kau kepada mereka dan tanya macam mana perangai kau supaya apa yang kau cerita sama dengan apa yang family dan kawan rapat kau cerita
871,Kat sini doktor akan fahamkan betul-betul kepada family/ kawan rapat yang kau perlukan sokongan keluarga dari segi emosi dan kena pastikan pesakit kena hadir temujanji dengan doktor
872,Rawatan yang terakhir ialah DIRI KAU SENDIRI
873," Ya, kalau diri sendiri taknak keluar dari kemurungan"
874, Maka semua rawatan-rawatan yang aku mention takkan berkesan
875,Push diri sendiri untuk terima rawatan dan ubah apa yang patut supaya kemurungan kau tak jatuh lebih teruk
876, Belajar untuk cope bila ada masalah dan cari ketenangan bila rasa ‘lemas’ dalam kemurungan
877,"Aku faham, perasaan sedih susah nak dikawal tapi cuba ikut apa petua,tips and trick dari doktor psikiatri kau untuk atasi perasaan tu"
878,"Oklah, sampai sini je aku nak beritahu tentang rawatan untuk depresi/ kemurungan"
879, Maybe next time aku cerita benda lain yang related dengan mental health dan mental illnes
880,Selamat berpuasa
881,– Cik H (Bukan nama sebenar)Hantar confession anda di sini -> https://iiumc
882,com/submit
883,Salam all reader IIUM’s confession
884, Thanks admin sebab approve confession aku ni
885, Depression
886," Yes, ni tajuk aku"
887," Lately aku dengar banyak kes bunuh diri and salah satunya kes bunuh diri sebab kemurungan!Untuk pengetahuan pembaca semua, orang yang menghidap kemurungan ni luaran dia tak nampak pun macam dia ada masalah"
888, Tapi the inside of that person hanya Tuhan je yang tau betapa susahnya dia struggle
889, Selalunya orang yang ada depression ni ada anxiety (kebimbangan) sekali
890, Sampai boleh terketar2 satu badan
891,Tanda-tanda penyakit kemurungan (ni aku amik dekat internet) 1
892, Perasaan murung atau sering marah-marah hampir sepanjang hari dan hampir setiap hari dalam tempoh dua minggu
893, Perasaan ini dilaporkan oleh pesakit secara subjektif seperti perasaan rendah diri ataupun daripada pengamatan orang luar contohnya selalu menangis
894, 2
895, Tidak bersemangat atau tidak berminat melakukan aktiviti sosial yang biasa dilakukan hampir setiap hari
896, Contohnya tidak berminat untuk bersukan lagi atau berjumpa dengan sanak-saudara
897, 3
898, Berat badan merosot (~5%) daripada asal dalam waktu yang singkat atau kurang selera makan
899, 4
900," Corak tidur berubah, sama ada kurang tidur (insomnia) atau terlebih tidur (hypersomnia)"
901, 5
902," Perubahan dalam melakukan aktiviti seharian, sama ada terlebih aktif atau kurang aktif"
903, 6
904, Selalu letih dan kurang tenaga dalam melakukan aktiviti harian
905, 7
906, Perasaan bersalah yang tidak setimpal dengan sesuatu kesalahan perbuatan atau merasakan diri tidak berguna 8
907, Tidak mampu memberikan konsentrasi atau berfikir secara rasional
908, Pesakit juga merasakan susah untuk membuat keputusan dalam kehidupan hariannya
909, 9
910," Berfikir tentang keinginan untuk mati atau bunuh diri dengan kerap, atau mempunyai pelan masa hadapan untuk membunuh diri"
911,"Tapi problem orang kita di Malaysia ni, asal depression je dah anggap gila"
912," Tak pun orang akan cakap “Takde apa la, jangan nak depressed sangat"
913,” Jadi orang yang ada depression ni jadi malu nak mengaku yang dia ada sakit kemurungan ni
914," Yes, aku tau orang akan cakap banyakkan dekatkan diri dengan Tuhan, mengadu pada Dia dan banyakkan baca Al-quran"
915," The point is, memang orang yang ada depression ni buat or mungkin ada yang tak, tapi macam aku cakap innerself dia kalau boleh nak rant as long as she/he can sebab dia susah nak control emosi dia"
916,Macam mana aku tau? Sebab aku pernah mengalami masalah yang sama
917," Sumpah waktu aku kena tu, aku macam tak ada point untuk hidup"
918, Lifeless dan rasa tak ada tempat nak bergantung
919, Study aku? Memang terjun ke laut resultnya
920, Hubungan dengan lecturer pun tak berapa nak okayy sebab masalah depression aku ni agak teruk
921, Banyak orang pandang serong sebab aku tetiba jadi pendiam kadang-kadang menangis sorang diri tak tahu punca
922," Tapi akuk tak mengalah, aku cuba cari something yang boleh motivate aku"
923, Aku tak pergi ke kaunselor sebab tak mampu nak bayar
924, Aku guna laman social
925," Aku cari group orang yang senasib dengan aku, yang ada masalah depression ni"
926, Group depression untuk Malaysian people susah aku nak jumpa
927, Boleh kira dengan jari je
928,Tapi mostly aku jumpa group yang mostly over the world punya participant
929," Daripada apa yang aku perhati, dia orang ni sangat-sangat OPEN-MINDED"
930," Each and every person yang confess dalam group tu, yang mengadu masalah atau tiba-tiba rasa anxious and post dalam group tu, people never condemn or saying anything bad to that person walaupun benda tu kita rasa benda bodoh –bodoh je masalah dia"
931, But they don’t
932," The ask with a caring word, regardless of your religious and races"
933,  Ada je yang confessed cakap nak bunuh diri sebab dah tak tahan dengan depression yang dia rasa
934," Tapi all the people in that group bagi kata-kata semangat balik untuk dia, make sure dia rasa dia sangat dihargai untuk jalani kehidupan dia"
935," Pada aku, kalaulah Malaysian people boleh jadi open-minded macam tu, mesti ukhwah sesama kita dapat dikuatkan"
936, Dan masalah depression ni dapat dibendung walaupun tak sepenuhnya
937, Mungkin juga sebab perangai orang Melayu kita suka perlekehkan sesuatu perkara menyebabkan golongan macam ni lebih rela untuk simpan masalah dia sendiri sampai mereput
938,Just my 2cent-Cik Depression-– Cik DepressionHantar confession anda di sini -> www
939,iiumc
940,com/submit
941,Assalamualaikum admin iium confession
942,
943, Terima kasih kerana sudi menyiarkan luahan ini
944,Luahan ini adalah bertujuan untuk memujuk hati saya sendiri dan mendapat sokongan untuk keluar daripada kemurungan yang telah saya alami sejak 2tahun yg lalu
945,Saya merupakan seorang wanita yg berumur 26 tahun yang telah berkahwin dan mempunyai seorang anak
946," Sebelum ini saya merupakan seorang pelajar cemerlang, aktif ,periang di rumah dan agak pendiam dalam kalangan kawan sekelas kerana sifat saya yang agak pemalu"
947, Saya tidak pernah dibiasakan oleh keluarga untuk melihat pertengkaran walaupun kecil dan jarang sekali marah dalam kalangan rakan sebaya
948, Boleh dikatakan mereka tidak pernah melihat saya dalam keadaan marah
949, Saya juga merupakan seorang yg pemaaf
950, Bagi saya setiap org akan melakukan kesilapan dalam hidupnya dan layak untuk diberi peluang berkali-kali sehingga akhir hayatnya
951,Namun kini saya berubah menjadi seorang yg pemarah
952, Saya sedang bergelut dengan satu perasaan di mana saya harus memaafkan orang sekeliling dan diri saya sendiri
953, Dan kemarahan itu saya luahkan dengan tangisan
954, Setiap hari zikir di lidah dan hati saya ungkapkan namun gangguan daripada syaitan kadangkala menguasai diri saya
955, Dalam satu keadaan saya akan hilang dari kesibukan dunia
956, Apa yg saya rasa hanyalah tekanan yg terlalu kuat semata mata sehingga menyebabkan saya terlalu letih dan tidak dapat menyelesaikan tugas sebagai seorang ibu dan isteri dengan sempurna
957,"Saya kerap melakukan kesalahan bodoh seprti lupa di mana meletakkan kunci, tidak dapat menyusun barang dengan baik, tidak peka dan tidak terurus"
958, Bagi saya tiada apa lagi yg ibu bapa dapat banggakan dengan saya
959, Saya rasa tidak layak untuk bergelar seorg isteri
960, Yang saya tahu saya rasa seperti seorg pekerja yg diletakkan di sebuah tempat dimana saya perlu ikut rentak semua orang di dalamnya
961,Saya tahu apa yang saya fikirkan adalah salah
962," Tetapi saya tetap menerima tekanan apabila mendengar pertengkaran, dimarah atas kesalahan kecil berkali kali"
963, Saya rasa sedih
964, Sangat sedih
965, Bagi saya punca utama terjadinya kemurungan ini adalah pada waktu saya sedang sarat mengandung suami saya selalu mencari peluang untuk bermesej dengan kawan kawan perempuannya
966, Sejak awal perkahwinan lagi saya telah memaafkan beliau kerana saya yakin satu hati nanti dia pasti berubah menjadi seorang lelaki yg soleh
967,Namun sehingga saya melahirkan anak dia masih melakukan perkara yang sama
968, Pada satu tahap diri saya hilang kawalan dan menjerit seperti orang gila
969, Perasaan sedih seakan akan tidak dapat dibendung lagi
970, Saya meminta suami saya untuk menceraikan saya namun dia masih sayangkan saya
971, Namun hati ini telah parah
972, Terasa seperti ditikam berkali kali
973,Sehinggalah pada saat ini suami saya telah berubah ke arah kebaikan namun kini saya tidak dapat mengawal perasaan saya apabila saya berhadapan dengan situasi pertengkaran
974, Saya hilang
975, Saya hilang darpada dunia seorang ibu dan isteri
976, Apa yg saya rasa kini hanyalah tekanan kuat dalam diri
977, Hilang keyakinan dan selalu bersedih
978, Kini suami selalu memberi semangat
979, Tapi dalam memberi semangat itu terkadang terkeluar kemarahan dan ego nya sebagai seorang lelaki
980, Dan saya akan terus bersedih merasakan tiada guna nya lagi menjadi seorang isteri
981, Saya menangis sekuat hati sehingga sakit segala isi
982, Menggigil tubuh ini menahankan emosi
983, Kuatnya ujian ini bagi saya
984,Saya tahu
985, Saya perlu suburkan hati dengan kesyukuran
986, Namun setiap kali saya mengalami tekanan tersebut saya akan hilang
987, Saya tergamam memikirkan pengorbanan saya melahirkan dan memaafkan disiakan begitu sahaja
988, Kini suami telah menjadi semakin baik dan saya sedang melawan perasaan untuk melupakan segala keburukan
989,  Saya tahu Allah adalah tempat untuk mengadu
990, Saya tahu Allah sahaja yang mampu memulihkan hati saya
991, Saya perlu usaha lebih lagi untuk keluar daripada kemurungan ini
992,Saya manusia yang penuh dengan kesilapan
993, Saya ingin kembali menjadi seorang isteri yang solehah yang sentiasa mendoakan suaminya
994, Saya rasa berdosa
995, Saya rasa jahat dan kejam kerana dengan keadaan kemurungan ini telah memberi kesan yang tidak baik terhadap orang sekeliling terutamanya keluarga terdekat
996,"Saya cemburu melihat isteri solehah yg meletakkan niqab di atas mukanya,berjalan penuh keyakinan"
997, Tak mengharapkan apa apa daripada manusia
998, Hanya Allah tempat bergantung semata mata
999, Saya cemburu melihat kekuatan seorang wanita yang bergelar suri rumah
1000, Saya cemburu melihat kebahagiaan rumah tangga
1001,Kini saya ingin bangun melawan segala hasutan syaitan
1002, Kini saya ingin keluar daripada segala kemurungan dan ingin menjadi seorang isteri solehah yg sentiasa memaafkan dan memberi pedoman
1003, Saya tahu ramai yang mengalami situasi ini tapi
1004,tak terungkap dengan luahan kata kata apa yang dilaluinya
1005,Terima kasih kepada pembaca
1006, Saya mengharapkan secebis doa daripada kalian supaya hati ini kembali kuat dan teguh apabila diuji
1007, Sokongan dan pemahaman amat diperlukan pada saat ini
1008,Semoga kita menjadi umat yg kuat diakhir zaman ini
1009,– IntanHantar confession anda di sini -> www
1010,iiumc
1011,com/submit
1012,"Assalamualaikum, terima kasih admin kerana approve hantaran ini"
1013,Semalam terkejut sangat sebab jumpa post yang seakan-akan melabel pesakit depression sebagai kufur
1014," Bukan itu sahaja, beliau malah menggunakan ayat Quran untuk justify pandangan tersebut"
1015,Siapa kita untuk menghukum orang lain? Kita bukanlah antara golongan yang dijamin syurga
1016, Tidak adil untuk pukul rata semua pesakit depression tu kufur
1017, Malah islam tidak mengajar kita untuk menhukum orang lain
1018,Stigma sebegini sangat bahaya
1019," Boleh menyebabkan pesakit kemurungan tidak mahu berkongsi rasa, malah ada yang mungkin tidak mendapatkan rawatan kerana risau dihukum sebagai “kufur”, “jauh dari Tuhan”, “lemah iman” dan sebagainya"
1020,Sedangkan depression tu merupakan satu penyakit dan boleh dirawat
1021," Seperti penyakit-penyakit lain, depression juga disebabkan beberapa faktor seperti hormon, genetik, dan persekitaran"
1022, Barah bukan disebabkan kufur kan? Haa macam tu jugak la depression
1023,"Mungkin lepas baca luahan ni, ada yang akan kata “betullah kalau dekat dengan Allah takkan depress”"
1024, Tapi sebelum tu saya nak kata yang pandangan itu sangat salah
1025, Dan merupakan stigma yang sangat berat
1026,"Haah, betul dengan mendekatkan diri dengan Allah, kita boleh tenang dan hilang tekanan, tetapi perlu ingat, depression ini penyakit"
1027," Dekatkan diri dengan Allah tu perlu, tetapi perlu juga mendapatkan rawatan pakar"
1028," Antara rawatan yang akan diberi adalah ubatan, terapi atau kedua-dua sekali bergantung pada keadaan pesakit"
1029,"Tapi macam mana orang yang sedang depress nak mendapatkan rawatan jika sekali diluahkan perasaan, terus dicop lemah iman dan sebagainya"
1030, Sedangkan kita dituntut untuk merujuk pakar dan berusaha dalam bertawakal
1031,  Stigma sebegini la juga yang menjauhkan orang-orang dari orang alim
1032," Bukankah ini merugikan Islam tu sendiri? Pesakit depression perlukan harapan dan bantuan, bukan kecaman"
1033,"Apa kesan stigma ini?Seperti yang dinyataan diatas, dan kesannya bukan sekadar menyebabkan pesakit tidak mendapatkan bantuan, malah kalau keadaan makin teruk boleh menyebabkan pesakit bunuh diri (nauzubillah)"
1034,"Jika pandangan-pandangan yang melabel pesakit depression ni tersebar, dan pesakit triggered, boleh membuatkan pesakit self-blame, adakah kita akan bertanggungjawab? Self-blame, rasa diri tidak berguna, rasa diri tiada harapan juga boleh mengakibatkan pesakit bunuh diri"
1035,Penyakit depression ni semakin hari semakin merunsingkan
1036," Selain rawatan doktor psikiatri atau psikologis, sokongan daripada individu sekeliling sangat lah penting"
1037, Antara gejala depression adalah merasa diri tidak berguna
1038,"Jadi kita sebagai anggota masyarakat perlu memberi harapan yang mereka sangat diperlukan, dan diri mereka bernilai"
1039, Teruskan berdoa semoga kita tidak mendapat depression
1040, Dan dalam masa yang sama mendoakan sahabat kita yang sedang bertarung dengan depression dan lain-lain penyakit mental
1041,– Zinnirah (Bukan nama sebenar)Hantar confession anda di sini -> https://iiumc
1042,com/submit
1043,Hai assalamualaikum nama mia ( bukan nama sebenar) 15 tahun
1044, saya ada satu perasaan yang saya sendiri tak tahu itu apa
1045, Then saya ade research membawa kepada di bawah ini
1046,Tanda-tanda penyakit kemurungan1
1047, Perasaan murung atau sering marah-marah hampir sepanjang hari dan hampir setiap hari dalam tempoh dua minggu
1048, Perasaan ini dilaporkan oleh pesakit secara subjektif seperti perasaan rendah diri ataupun daripada pengamatan orang luar contohnya selalu menangis
1049, ( ok ini memang selalu cth kalau hari tu kena marah or ada orang sumpah seranah even gurau je pon saya boleh dapat perasaan diri rasa ‘xguna’ or benci dekat diri sendiri
1050, and macam ada orang bercakap dalam kepala ‘ ko ni tak guan mia benda macam tu pon tak boleh buat ke?’ atau ‘ ko ni tak layak hidup la mia’ atau ‘ semua ni salah ko la mia’ kata- kata tu berlegar dalam kepala walaupun salah yang saya buat alahai sangat sikit
1051, Lagi- lagi bila orang salahkan saya depan – depan secara gurauan dia punya feel tu macam dah tak nak buat ape dah
1052, Lebih tepat lagi rasa macam tak nak hidup bila ade orang salah kan kita la
1053,(nampak remeh kan sorry tak reti nak luahkan macam mana harap faham)2
1054, Tidak bersemangat atau tidak berminat melakukan aktiviti sosial yang biasa dilakukan hampir setiap hari
1055, Contohnya tidak berminat untuk bersukan lagi atau berjumpa dengan sanak-saudara
1056, sangat-sangatlah iye
1057,3
1058, Berat badan merosot (~5%) daripada asal dalam waktu yang singkat atau kurang selera makan
1059, Yang ni tak kot sebab aq ni jenis banyak memikir bila penat memikir aq makan
1060,4
1061," Corak tidur berubah, sama ada kurang tidur (insomnia) atau terlebih tidur (hypersomnia)"
1062,Yang ni sekarang ya
1063," Tak tahu kenapa aq dari dulu lagi kalau buat ujian yg stress, depression, anxiety"
1064, Depression dengan anxiety tahap max nun
1065, kuat tidoq waktu tu la ni ja tiba-tiba dia berubah
1066,5
1067," Perubahan dalam melakukan aktiviti seharian, sama ada terlebih aktif atau kurang aktif"
1068, yup ni ye ( kadang – kadang benci dengan diri sendiri sebab ni)6
1069, Selalu letih dan kurang tenaga dalam melakukan aktiviti harian
1070, even sabtu ahad cuti pon rasa tak larat sangat nak buat keje
1071, Rasa letih dia macam orang kemas rumah dari A-Z 
1072,7
1073, Perasaan bersalah yang tidak setimpal dengan sesuatu kesalahan perbuatan atau merasakan diri tidak berguna ( yang ni sangat -sangat accurate 10/10
1074, suka sangat salahkan diri sendiri sebab tu saya lebih suka berdiam diri kalau jadi apa-apa saya tak kena mengenalah)  8
1075, Tidak mampu memberikan konsentrasi atau berfikir secara rasional
1076, Pesakit juga merasakan susah untuk membuat keputusan dalam kehidupan hariannya
1077,yup9
1078," Berfikir tentang keinginan untuk mati atau bunuh diri dengan kerap, atau mempunyai pelan masa hadapan untuk membunuh diri"
1079,Tidak ni je tak mungkin sebab saya agama islam saya rasa selagi solat tak tinggal saya ok je
1080," cuma bila perasaan tu datang susahApa yang saya nak cakap, tiap-tiap hari saya akan pikir ‘hidup aq esok macam mana?’ ‘malasnya nak hidup’ ‘ tak bergunanya aq’ ‘ susahnya tu susahnya ni’ Lagi satu rasa benci dekat diri sendiri tu sangat2 kuat tiap- tiap hari"
1081, saya ni spesies kalau bnda tu pengalaman mennyakitkan hati jiwa dan raga otak saya cepat je lupa
1082, sesetengah la
1083, so tak pasti apa sebab nak benci diri sendiri tu
1084,Ha lagi satu kadang tu tanpa sebab tiba-tiba nak nangis
1085,hmmm tu je lah kot ciri-ciri yang aq hadap setakat ni
1086, aq takut sebab orang cakap depression ni jangan main -main
1087,"Justeru, jika anda merasakan anda atau orang terdekat anda mempunyai gejala- gejala yang disebutkan di atas dalam tempoh waktu yang sudah lama, adalah lebih baik anda mendapatkan pertolongan daripada doktor anda atau hubungi mereka yang boleh memberikan pertolongan seperti di bawah"
1088,no
1089,1 dan 2 dan 7 sangat lah diri saya
1090," persoalannya, adakah saya depression?p/s: saya agak2 mesti ramai cakap saya acah depression"
1091, saya cuma nak tau saya kategori mana je harap dapat membantu saya
1092, saya tak de tempat nak luah
1093, mereka tak faham sebab saya tak reti bercerita
1094, kalau rasa merepek maafla saya tak reti bercerita
1095,(lagi satu thanks admin kalau publish) Harap dapat komen yang membantu
1096,Terima kasih semua
1097,– miaHantar confession anda di sini -> www
1098,iiumc
1099,com/submit
1100,"""Tak tau macam mana nak cakap"
1101, I was diagnosed with major depression disorder
1102, Ni bukan la kali pertama aku berjumpa dengan Dr untuk treat depression aku dan bukan la kali pertama aku try untuk suicide
1103," Dulu, pernah pergi treatment tapi aku stop"
1104, And depression still datang sebab aku tak recover betul2 lagi
1105, This year aku pergi dapatkan bantuan lagi daripada pakar sebab aku tak tahan
1106,"  Aku try cederakan diri aku, having suicidal thoughts, tak boleh focus buat kerja, asyik amik MC sakit"
1107, Kekadang aku ada terfikir nak luahkan kat kawan aku
1108," Aku bagitau aku depressed, sedih"
1109,"  Tapi response dia """"try to think positive"""" , """" cuba ingat Tuhan"""" , """"Aku pon lalui benda macam kau,  lagi teruk drpd kau lagi"""" "
1110,
1111, Hmm
1112,
1113," Kalau dapat dah dapat respond sebegitu, kau rasa aku tak lagi stress ke"
1114,
1115, Orang yang tak pernah lalui depression tak faham apa itu depression
1116," Mereka fikir kami sedih dan loser, tak ingat Tuhan, lemah Iman"
1117, Haha
1118," Ntah la aku penat dengan dunia ni,  penat hidup"
1119," Aku ada je pergi kaunseling, makan antidepressants tapi the negative thoughts still datang"
1120,  Aku still rse nak cederakan diri aku
1121,"  In fact semalam aku try untuk cederakan diri aku,  but amazingly tak rasa sakit"
1122, Aku punya deria sakit macam dah hilang
1123, Aku dah tak tau nak buat macam mana
1124,  Nak suruh seek help from psychiatrist
1125," Aku dh buat,  ubat aku makan"
1126," Yet, aku still rasa kosong, useless, helpless, rasa macam aku beban untuk semua orang"
1127, Rasa macam aku menyusahkan orang
1128,  Rasa macam semua tak suka aku
1129, Dan aku pun benci diri aku
1130, Aku penat
1131, Penat hidup
1132," """
1133,"""Rindu yang paling sakit ialah rindu kepada orang yang dah buang kita"
1134," Maafkan saya, saya sedang merindui ibu saya"
1135," Doakan ibu saya sihat selalu, doakan dia diberi ketenangan, doakan dia dilembutkan hati untuk memaafkan anak-anaknya, doakan dia dapat menerima sebuah kenyataan (walaupun kenyataan itu sakit untuk diterima)"
1136,"Mungkin dalam ramai ramai yang membaca posting ini, boleh mengaminkan doa diatas"
1137," Sebab kita tak tahu, doa siapa yang Allah angkat dan makbulkan"
1138,"Thanks"""
1139,Hi nak tanya
1140, Ubat untuk depression tu betul2 function ke? Maaf lah bunyi macam noob sikit
1141, I rasa I macam makin teruk so I nak tahu betul ke ubat tu boleh rawat and ubah I
1142, Will it make me less sadder? More happier? More motivated? Asking for myself 🙏
1143,"""Firstly, trima kasih admin sudi post saya punya confession ni"
1144,
1145,
1146,I am pretty sure that im not alone menghadapi tekanan study online yg akan dtg terutama yg online KAT RUMAH
1147," Dengan suasana yg x brp kondusif, bilik sendiri pon xde, line yg kdg2 mcm tau2 jaa ada kelas, time tu jgak dia nak main2 manja menghilang, and etc and yg paling aku takut it could lead to stress n depression sbb skrg aku rasa mcm aku ada simptom2 ke arah tu 🙂"
1148," Jadi aku nak mnta jasa baik korang, kot2 ada yg nak bagi nasihat ke apa utk build up balik semangat2 kami ni asalkan bukan yg mcm KUATKAN IMAN AND SO ON itu aku tahu"
1149,"Thanks in advance"""
1150,Macam mana nak hilangkan atau kurangkan axiety ye
1151," saya rasa axiety saya makin teruk, dsebabkan oleh masalah belajar, kewangan, toxic friend and broken family"
1152, 😣
1153,"""Salam semua"
1154,Saya nak luahkan sesuatu
1155, Saya ada master dan saya rasa ia adalah satu sumpahan didalam kegembiraan
1156," Kenapa?Kalau saya buat kesilapan ditempat kerja, perkara pertama yang boss saya akan cakap “Kau ada master"
1157, Sepatutnya boleh fikir! Perkara ini tidak sepatutnya terjadi!”
1158," Kalau ada master ni, automatik akan jadi “TERPANDAI” ke??? Saya akui saya ada buat kesalahan tapi kenapa academic background saya dijadikan sebagai kayu pengukur? Just because i have a master everyone thinks i’m smart and don’t do mistake? Saya cuma manusia biasa yang tidak boleh lari daripada masalah"
1159,"Sejujurnya, saya gembira dapat genggam segulung ijazah sarjana"
1160, Bukan senang nak dapat ni
1161, Tapi tu la
1162, Terus ada cop kat dahi “Budak master kot
1163," Kenapa buat silap?!”I’m still stupid, everyone"
1164, Banyak benda lagi yang saya perlu pelajari
1165," Please la jangan buat macam ni"""
1166,"""Apa pendapat korang dengan mak bapak yang suka 'neraka-kan' anak sendiri? Asian parents ni memang ingat dia orang ni tuhan ke nak tentukan siapa pergi jahanam"
1167, Serius
1168,
1169,
1170," Saya ni bukan anak yang jenis melawan, kalau parents bising pun saya duduk diam sebab saya tahu saya tak boleh menang dan sebarang hujah yang diberi akan dipatahkan"
1171, Lebih-lebih lagi keluarga saya ini yang datang dari golongan educated
1172, Sejak dulu lagi saya sering cemburu dengan kehidupan seorang tukang sapu kerana saya lebih sanggup hidup secara sederhana seperti mereka walaupun dalam serba kekurangan daripada hidup mewah tapi dalam rumah sendiri pun rasa tidak selamat
1173,Sejujurnya beberapa kali saya selalu terbayang inginnya saya untuk mengambil nyawa sendiri atau bagaimana jika ia benar-benar berlaku
1174, Biar keluarga saya rasa bersalah sepanjang hidup mereka dan rasai kesakitan saya selalu alami yang mereka tidak ketahui
1175, Biar mereka rasa bersalah saya masuk ke neraka kerana kesilapan mereka sendiri
1176, Apabila shaitan berbisik dan neraka memanggil ketika itulah saya akan terjun dari tingkat yang tinggi atau gantung diri saya sendiri dalam kamar agar mereka akan meraung apabila melihat badan saya yang tidak lagi bernyawa
1177,Tapi apa gunanya membunuh diri jika roh kita tidak akan tenang di sana? Cuma nak kata kalau sampai ke tahap seperti ini di manakah silap ibu bapa sehingga menyebabkan tragedi seperti sedemikian
1178, Apabila kesihatan akal tidak dihiraukan kerana apa masyarakat kita peduli sebab ia bukan sesuatu yang jelas dilihat seperti kecederaan tubuh badan
1179," Pernah saya terfikir bagaimana keadaan diri kita andaikata diri sendiri hilang siuman, apakah kita akan sedar kita masih lagi waras? Kemungkinan semuanya sudah terlalu lambat kerana pada ketika itu badan tidak dapat lagi dikawal dengan pemikiran"
1180," Silap-silap kita sendiri akan berkeliaran tanpa  tujuan pada lewat malam dan terlangkah jatuh ke dalam gaung, maka tiada sesiapa yang dapat mendengari jeritan anda kerana di situlah kita akan mati keseorangan"
1181," Ketika itu tiada jaminan jasad akan ditemui, mungkin ya, mungkin tidak, apabila anda ucapkan selamat tinggal dunia"
1182,"""@Bij Talkin, ""As much as I want to say I feel you, I can't because my parents aren't educated"
1183, I'm not complaining abt them being spm leavers
1184," They are religious and they like to push me and my siblings to do all kind of ibadah, and worse, we need to let them know, see or hear what we have done"
1185," If we don't comply, we will receive an earful of endless nagging and scolding that the whole village can hear, saying that we don't have enough pahala and will go to hell etc"
1186, Things get worse during ramadhan
1187, I've also got financial issue and family issue and
